,Survived,Pclass,Age,SibSp,Parch,Fare,male,Q,S,Capt,Col,Countess,Don,Dr,Major,Master,Miss,Mlle,Mme,Mr,Ms,Rev
49,0,3,18.0,1,0,17.8,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
50,0,3,7.0,4,1,39.6875,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
51,0,3,21.0,0,0,7.8,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
52,1,1,49.0,1,0,76.7292,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
53,1,2,29.0,1,0,26.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
54,0,1,65.0,0,1,61.9792,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
55,1,1,35.0,0,0,35.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
56,1,2,21.0,0,0,10.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
57,0,3,28.5,0,0,7.2292,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
58,1,2,5.0,1,2,27.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
59,0,3,11.0,5,2,46.9,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
60,0,3,22.0,0,0,7.2292,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
61,1,1,38.0,0,0,80.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
62,0,1,45.0,1,0,83.475,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
63,0,3,4.0,3,2,27.9,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
64,0,1,46.0,0,0,27.7208,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
65,1,3,25.0,1,1,15.2458,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
66,1,2,29.0,0,0,10.5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
67,0,3,19.0,0,0,8.1583,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
68,1,3,17.0,4,2,7.925,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
69,0,3,26.0,2,0,8.6625,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
70,0,2,32.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
71,0,3,16.0,5,2,46.9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
72,0,2,21.0,0,0,73.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
73,0,3,26.0,1,0,14.4542,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
74,1,3,32.0,0,0,56.4958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
75,0,3,25.0,0,0,7.65,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
76,0,3,25.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
77,0,3,25.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
78,1,2,0.83,0,2,29.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
79,1,3,30.0,0,0,12.475,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
80,0,3,22.0,0,0,9.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
81,1,3,29.0,0,0,9.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
82,1,3,19.0,0,0,7.7875,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
83,0,1,28.0,0,0,47.1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
84,1,2,17.0,0,0,10.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
85,1,3,33.0,3,0,15.85,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
86,0,3,16.0,1,3,34.375,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
87,0,3,25.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
88,1,1,23.0,3,2,263.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
89,0,3,24.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
90,0,3,29.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
91,0,3,20.0,0,0,7.8542,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
92,0,1,46.0,1,0,61.175,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
93,0,3,26.0,1,2,20.575,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
94,0,3,59.0,0,0,7.25,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
95,0,3,25.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
96,0,1,71.0,0,0,34.6542,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
97,1,1,23.0,0,1,63.3583,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
98,1,2,34.0,0,1,23.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
99,0,2,34.0,1,0,26.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
100,0,3,28.0,0,0,7.8958,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
101,0,3,25.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
102,0,1,21.0,0,1,77.2875,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
103,0,3,33.0,0,0,8.6542,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
104,0,3,37.0,2,0,7.925,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
105,0,3,28.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
106,1,3,21.0,0,0,7.65,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
107,1,3,25.0,0,0,7.775,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
108,0,3,38.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
109,1,3,19.0,1,0,24.15,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
110,0,1,47.0,0,0,52.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
111,0,3,14.5,1,0,14.4542,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
112,0,3,22.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
113,0,3,20.0,1,0,9.825,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
114,0,3,17.0,0,0,14.4583,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
115,0,3,21.0,0,0,7.925,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
116,0,3,70.5,0,0,7.75,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
117,0,2,29.0,1,0,21.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
118,0,1,24.0,0,1,247.5208,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
119,0,3,2.0,4,2,31.275,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
120,0,2,21.0,2,0,73.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
121,0,3,25.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
122,0,2,32.5,1,0,30.0708,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
123,1,2,32.5,0,0,13.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
124,0,1,54.0,0,1,77.2875,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
125,1,3,12.0,1,0,11.2417,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
126,0,3,25.0,0,0,7.75,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
127,1,3,24.0,0,0,7.1417,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
128,1,3,19.0,1,1,22.3583,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
129,0,3,45.0,0,0,6.975,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
130,0,3,33.0,0,0,7.8958,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
131,0,3,20.0,0,0,7.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
132,0,3,47.0,1,0,14.5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
133,1,2,29.0,1,0,26.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
134,0,2,25.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
135,0,2,23.0,0,0,15.0458,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
136,1,1,19.0,0,2,26.2833,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
137,0,1,37.0,1,0,53.1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
138,0,3,16.0,0,0,9.2167,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
139,0,1,24.0,0,0,79.2,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
140,0,3,22.0,0,2,15.2458,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
141,1,3,22.0,0,0,7.75,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
142,1,3,24.0,1,0,15.85,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
143,0,3,19.0,0,0,6.75,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
144,0,2,18.0,0,0,11.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
145,0,2,19.0,1,1,36.75,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
146,1,3,27.0,0,0,7.7958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
147,0,3,9.0,2,2,34.375,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
148,0,2,36.5,0,2,26.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
149,0,2,42.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
150,0,2,51.0,0,0,12.525,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
151,1,1,22.0,1,0,66.6,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
152,0,3,55.5,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
153,0,3,40.5,0,2,14.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
154,0,3,25.0,0,0,7.3125,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
155,0,1,51.0,0,1,61.3792,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
156,1,3,16.0,0,0,7.7333,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
157,0,3,30.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
158,0,3,25.0,0,0,8.6625,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
159,0,3,25.0,8,2,69.55,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
160,0,3,44.0,0,1,16.1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
161,1,2,40.0,0,0,15.75,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
162,0,3,26.0,0,0,7.775,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
163,0,3,17.0,0,0,8.6625,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
164,0,3,1.0,4,1,39.6875,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
165,1,3,9.0,0,2,20.525,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
166,1,1,35.0,0,1,55.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
167,0,3,45.0,1,4,27.9,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
168,0,1,46.0,0,0,25.925,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
169,0,3,28.0,0,0,56.4958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
170,0,1,61.0,0,0,33.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
171,0,3,4.0,4,1,29.125,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
172,1,3,1.0,1,1,11.1333,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
173,0,3,21.0,0,0,7.925,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
174,0,1,56.0,0,0,30.6958,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
175,0,3,18.0,1,1,7.8542,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
176,0,3,25.0,3,1,25.4667,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
177,0,1,50.0,0,0,28.7125,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
178,0,2,30.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
179,0,3,36.0,0,0,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
180,0,3,22.0,8,2,69.55,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
181,0,2,31.0,0,0,15.05,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
182,0,3,9.0,4,2,31.3875,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
183,1,2,1.0,2,1,39.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
184,1,3,4.0,0,2,22.025,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
185,0,1,46.0,0,0,50.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
186,1,3,19.0,1,0,15.5,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
187,1,1,45.0,0,0,26.55,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
188,0,3,40.0,1,1,15.5,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
189,0,3,36.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
190,1,2,32.0,0,0,13.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
191,0,2,19.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
192,1,3,19.0,1,0,7.8542,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
193,1,2,3.0,1,1,26.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
194,1,1,44.0,0,0,27.7208,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
195,1,1,58.0,0,0,146.5208,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
196,0,3,25.0,0,0,7.75,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
197,0,3,42.0,0,1,8.4042,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
198,1,3,19.0,0,0,7.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
199,0,2,24.0,0,0,13.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
200,0,3,28.0,0,0,9.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
201,0,3,25.0,8,2,69.55,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
202,0,3,34.0,0,0,6.4958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
203,0,3,45.5,0,0,7.225,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
204,1,3,18.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
205,0,3,2.0,0,1,10.4625,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
206,0,3,32.0,1,0,15.85,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
207,1,3,26.0,0,0,18.7875,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
208,1,3,16.0,0,0,7.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
209,1,1,40.0,0,0,31.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
210,0,3,24.0,0,0,7.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
211,1,2,35.0,0,0,21.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
212,0,3,22.0,0,0,7.25,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
213,0,2,30.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
214,0,3,25.0,1,0,7.75,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
215,1,1,31.0,1,0,113.275,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
216,1,3,27.0,0,0,7.925,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
217,0,2,42.0,1,0,27.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
218,1,1,32.0,0,0,76.2917,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
219,0,2,30.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
220,1,3,16.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
221,0,2,27.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
222,0,3,51.0,0,0,8.05,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
223,0,3,25.0,0,0,7.8958,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
224,1,1,38.0,1,0,90.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
225,0,3,22.0,0,0,9.35,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
226,1,2,19.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
227,0,3,20.5,0,0,7.25,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
228,0,2,18.0,0,0,13.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
229,0,3,22.0,3,1,25.4667,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
230,1,1,35.0,1,0,83.475,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
231,0,3,29.0,0,0,7.775,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
232,0,2,59.0,0,0,13.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
233,1,3,5.0,4,2,31.3875,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
234,0,2,24.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
235,0,3,22.0,0,0,7.55,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
236,0,2,44.0,1,0,26.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
237,1,2,8.0,0,2,26.25,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
238,0,2,19.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
239,0,2,33.0,0,0,12.275,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
240,0,3,22.0,1,0,14.4542,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
241,1,3,19.0,1,0,15.5,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
242,0,2,29.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
243,0,3,22.0,0,0,7.125,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
244,0,3,30.0,0,0,7.225,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
245,0,1,44.0,2,0,90.0,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
246,0,3,25.0,0,0,7.775,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
247,1,2,24.0,0,2,14.5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
248,1,1,37.0,1,1,52.5542,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
249,0,2,54.0,1,0,26.0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
250,0,3,25.0,0,0,7.25,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
251,0,3,29.0,1,1,10.4625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
252,0,1,62.0,0,0,26.55,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
253,0,3,30.0,1,0,16.1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
254,0,3,41.0,0,2,20.2125,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
255,1,3,29.0,0,2,15.2458,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
256,1,1,35.0,0,0,79.2,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
257,1,1,30.0,0,0,86.5,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
258,1,1,35.0,0,0,512.3292,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
259,1,2,50.0,0,1,26.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
260,0,3,25.0,0,0,7.75,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
261,1,3,3.0,4,2,31.3875,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
262,0,1,52.0,1,1,79.65,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
263,0,1,40.0,0,0,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
264,0,3,22.0,0,0,7.75,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
265,0,2,36.0,0,0,10.5,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
266,0,3,16.0,4,1,39.6875,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
267,1,3,25.0,1,0,7.775,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
268,1,1,58.0,0,1,153.4625,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
269,1,1,35.0,0,0,135.6333,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
270,0,1,46.0,0,0,31.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
271,1,3,25.0,0,0,0.0,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
272,1,2,41.0,0,1,19.5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
273,0,1,37.0,0,1,29.7,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
